SNo,Product,HSN,Pack,Qty,Free,MRP,Rate,GST%,Amount
1,ATORABLE 20 TAB,30049099,10X10,1.0,0.0,1341.94,120.00,5.0,120.00
2,ISTALAB-DM 1000 TAB,30049099,10X10,1.0,0.0,3490.00,550.00,5.0,550.00
3,ACEFLICK COLD TAB,30049099,10X10,3.0,0.0,830.00,105.00,5.0,315.00
4,ACEFLICK P TAB,30049099,20X10,10.0,0.0,1030.00,120.00,5.0,1200.00
5,ACEFLICK SP TAB,30049099,10X10,10.0,0.0,1110.00,120.00,5.0,1200.00
6,ATORABLE GOLD 20 CAPSULE,30049099,10X10,1.0,0.0,1590.00,340.00,5.0,340.00
7,AZOXONE 250 TAB,30049099,10X6,2.0,0.0,747.80,290.00,5.0,580.00
8,AZOXONE 500 TAB,30049099,10X5,2.0,0.0,1267.30,490.00,5.0,980.00
9,CALOSTYLE K27 PLUS SOFTCAP,30045020,10X1X10,,,1860.00,260.00,5.0,1560.00
10,CALOSTYLE CT SOFTCAP,30049099,10X1X10,,,1400.00,115.00,5.0,575.00
11,CEFUZROM 250 TABLET,30049099,10X10,2.0,0.0,3040.00,600.00,5.0,1200.00
12,CEFUZROM 500 TAB,30049099,10X10,,,5435.00,1180.00,5.0,2360.00
13,CHYMOEDGE FORTE TAB,30049069,10X20,,,3450.00,410.00,5.0,820.00
14,CUFSNIFF AD SYRUP,30049039,100MOL,50.0,0.0,120.00,19.00,5.0,950.00
15,CUFSNIFF DX SYRUP,30049093,100ML,50.0,0.0,92.00,18.00,5.0,900.00
16,CUFSNIFF LS SYRUP,30049099,100ML,50.0,0.0,111.00,19.00,5.0,950.00
18,CYPROSLAB PLUS SYRUP 3 C,0049099,200ML,60.0,0.0,167.00,26.00,5.0,1560.00
19,CYPROSLAB T SYRUP,30049099,100ML,60.0,0.0,135.00,18.00,5.0,1080.00
20,ELECTROSLICE LEMON,20098100,200ML,60.0,0.0,45.00,12.00,5.0,720.00
21,ESOABLE L CAP,30049099,10X10,10.0,0.0,2334.30,250.00,5.0,2500.00
22,ETOSCRIB MR TAB,30049099,10X10,5.0,0.0,2420.00,580.00,5.0,2900.00
23,ETOSCRIB P TAB,30049099,10X10,5.0,0.0,1584.38,200.00,5.0,1000.00
24,FLICKDOX CV TAB,30049099,10X10,2.0,0.0,3650.00,1120.00,5.0,2240.00
25,FOLCAIN GEL,30049099,170ML,80.0,0.0,149.06,35.00,5.0,2800.00
26,HEPALOGY 140 TAB,30049099,10X10,3.0,0.0,1960.00,310.00,5.0,930.00
27,LEVONOBLE 5 TAB,30049099,20X10,5.0,0.0,720.00,95.00,5.0,475.00
28,MONCLIP LC TAB,30049039,10X10,5.0,0.0,1390.00,120.00,5.0,600.00
29,MOXYPLIT CV 625 TAB,30049099,10x10,10.0,0.0,1950.00,590.00,5.0,5900.00
30,NIMOPLIT P TAB,30049099,20X10,2.0,0.0,750.00,120.00,5.0,240.00
31,NIMOPLIT P TAB,30049099,20X10,3.0,0.0,750.00,120.00,5.0,360.00
32,NUROSLIDE D3 TAB,30049099,10X10,3.0,0.0,2146.00,350.00,5.0,1050.00
33,OLIGANIX SYP,30049099,300,,,233.00,40.00,5.0,800.00
34,PANPITAL DSR CAPSULES,30049039,10X10,15.0,0.0,1210.00,120.00,5.0,1800.00
35,PANPITAL L CAPSULE,30049039,10X10,3.0,0.0,2240.00,250.00,5.0,750.00
36,RIBZIFF DSR CAPSULES,30049039,10X10,15.0,0.0,1130.00,112.00,5.0,1680.00
37,VITAMIN C HANDWASH,34013019,300ML,2.0,0.0,125.00,5.00,18.0,10.00
38,ZYMVIGO SYRUP,21069099,200ML,,,123.00,22.00,5.0,1100.00
39,ZYMVIGO SYP,21069099,100,,,88.00,15.00,5.0,750.00
40,ESOABLE 40 INJ,30049039,40MG,50.0,0.0,177.00,18.00,5.0,900.00
41,FRITCET 1G INJ,30042019,1GM,,,67.00,18.00,5.0,360.00
42,FRITCET S 1.5GM INJ,30042019,1500MGL,20.0,0.0,214.00,25.00,5.0,500.00
43,NUROSLIDE FORTE INJ,30045090,2MLO,50.0,0.0,102.00,12.00,5.0,600.00
44,PIFFCAM 2ML INJ,30049066,10X2ML,10.0,0.0,450.00,58.00,5.0,580.00
45,ESOVAX DSR,30049039,10X10,15.0,0.0,1124.06,180.00,5.0,2700.00
47,ELECTROSLICE ORANGE 2 C,0098100,200ML,60.0,0.0,46.00,12.00,5.0,720.00
48,ELECTROSLICE ORANGE,20098100,200ML,60.0,0.0,46.00,12.00,5.0,720.00
49,ELECTROSLICE ORANGE,20098100,200ML,60.0,0.0,46.00,12.00,5.0,720.00
50,CATALOGUES PRINTED,491110,2.00,,,0.00,150.00,18.0,300.00
51,LBL,491110,20.00,,,0.00,0.10,18.0,2.00
52,PRODUCT CARD,491110,2.00,,,0.00,0.10,18.0,0.20
53,BAGS,42021250,1.00,,,0.00,100.00,18.0,100.00
54,BALL PEN,96081099,10.00,,,0.00,0.10,18.0,1.00
